Words,Pinyin,En.translation,Word_Length,CLDC_wfpm,CLDC_logfpm,CLDC_zipf,SUBTLEX_freq,AoA_in_years,PhonologicalN,C1_stroke,C2_stroke,C3_stroke,C1_pinyin,C2_pinyin,C3_pinyin,C1_PN,C2_PN,C3_PN,C1_characterfrequency,C2_characterfrequency,C3_characterfrequency,C1_syllablefrequency,C2_syllablefrequency,C3_syllablefrequency,C1_AoA,C2_AoA,C3_AoA
坦克,tan3ke4,tank,2,18.43276817,1.28853467,4.26557531,2.0899,7.842105263,2,8,7,NA,tan3,ke4,NA,24,17,NA,66.52990041,940.5568219,NA,78.10335973,1888.597644,NA,8,8,NA
海螺,hai3luo2,sea snail,2,0.646093276,0.216454441,2.810869783,0.8451,NA,1,10,17,NA,hai3,luo2,NA,17,16,NA,1301.035367,28.94844813,NA,1301.035367,555.4426303,NA,6.5,8,NA
冰箱,bing1xiang1,fridger,2,13.47604976,1.160650067,4.129555241,2.7412,9.954545455,2,6,15,NA,bing1,xiang1,NA,11,8,NA,129.3571549,123.1385396,NA,675.7409499,2292.646187,NA,7,9,NA
花瓶,hua1ping2,vase,2,2.064768512,0.486397677,3.31502604,2.0828,8.318181818,0,7,10,NA,hua1,ping2,NA,7,11,NA,618.8457324,43.78459506,NA,617.5130758,2124.169744,NA,6.5,9.5,NA
车轮,che1lun2,wheel,2,4.867539344,0.76845601,3.687353964,1.9731,7.263157895,0,4,8,NA,che1,lun2,NA,12,7,NA,1045.048261,222.7137474,NA,1045.020679,333.7345979,NA,6.5,7.5,NA
邮票,you2piao4,stamp,2,10.70876856,1.068511221,4.029739745,1.9243,8.421052632,2,7,11,NA,you2,piao4,NA,12,12,NA,155.6221266,274.2433574,NA,2521.053156,81.82282361,NA,8,7,NA
足球,zu2qiu2,football,2,50.39163558,1.71089244,4.702329607,2.5551,6.761904762,0,7,11,NA,zu2,qiu2,NA,19,6,NA,537.9243523,600.3237575,NA,2689.472418,1531.866816,NA,6.5,7,NA
拖鞋,tuo1xie2,slippers,2,1.465994744,0.391992147,3.16636522,2.0453,6.473684211,2,8,15,NA,tuo1,xie2,NA,17,9,NA,56.19895326,56.17069905,NA,137.2104776,58.66715962,NA,8,7.5,NA
天平,tian1ping2,balance,2,2.755451324,0.574662137,3.440299456,1.4314,11.5,4,4,5,NA,tian1,ping2,NA,7,11,NA,2222.340314,1585.080915,NA,2271.771713,28.24949299,NA,6.5,7,NA
戒指,jie4zhi5,ring,2,4.429833899,0.734786545,3.646439957,2.8069,9.681818182,4,7,9,NA,jie4,zhi3,NA,13,12,NA,54.98940432,953.2093227,NA,1595.216773,5144.921335,NA,8.5,7.5,NA
钉子,ding1zi5,nail,2,2.760911268,0.575293087,3.441158878,2.143,5.555555556,4,7,3,NA,ding1,zi,NA,11,6,NA,18.67199122,3310.14391,NA,157.0092733,825.9382697,NA,7.5,6.5,NA
毛笔,mao2bi3,writing brush,2,1.799961268,0.447152024,3.255445977,0.4771,7.904761905,0,4,10,NA,mao2,bi3,NA,21,15,NA,375.7210149,226.9518777,NA,453.401907,1366.046941,NA,7,6.5,NA
台灯,tai2deng1,lamp,2,1.27034678,0.356092198,3.104196588,1.6335,NA,1,5,6,NA,tai2,deng1,NA,13,20,NA,754.7228808,134.7880162,NA,1147.010949,361.5986229,NA,6.5,6.5,NA
